"","sample.PCR","sample","rep","count","taxon","taxonomic_level","SampleCode","Sample_label","Sample_rep","Sample_date","Extraction_date"
"545","e00301-A","e00301","A",226,"Salmonidae","family","2021_REEF_B_1","Reef harbor kelp","1","6/13/21","11/18/21"
"546","e00301-A","e00301","A",236,"Pholis","genus","2021_REEF_B_1","Reef harbor kelp","1","6/13/21","11/18/21"
"547","e00301-A","e00301","A",6311,"Ammodytidae","family","2021_REEF_B_1","Reef harbor kelp","1","6/13/21","11/18/21"
"548","e00301-A","e00301","A",89,"Anoplarchus","genus","2021_REEF_B_1","Reef harbor kelp","1","6/13/21","11/18/21"
"549","e00301-A","e00301","A",201,"Stichaeidae","family","2021_REEF_B_1","Reef harbor kelp","1","6/13/21","11/18/21"
"550","e00301-A","e00301","A",165,"Polypera_greeni","species","2021_REEF_B_1","Reef harbor kelp","1","6/13/21","11/18/21"
"551","e00301-A","e00301","A",47,"Gobiesox_maeandricus","species","2021_REEF_B_1","Reef harbor kelp","1","6/13/21","11/18/21"
"552","e00301-A","e00301","A",4,"Artedius_lateralis","species","2021_REEF_B_1","Reef harbor kelp","1","6/13/21","11/18/21"
"553","e00301-B","e00301","B",3157,"Clupeidae","family","2021_REEF_B_1","Reef harbor kelp","1","6/13/21","11/18/21"
"554","e00301-B","e00301","B",410,"Salmonidae","family","2021_REEF_B_1","Reef harbor kelp","1","6/13/21","11/18/21"
"555","e00301-B","e00301","B",407,"Pholis","genus","2021_REEF_B_1","Reef harbor kelp","1","6/13/21","11/18/21"
"556","e00301-B","e00301","B",13733,"Ammodytidae","family","2021_REEF_B_1","Reef harbor kelp","1","6/13/21","11/18/21"
"557","e00301-B","e00301","B",343,"Anoplarchus","genus","2021_REEF_B_1","Reef harbor kelp","1","6/13/21","11/18/21"
"558","e00301-B","e00301","B",377,"Oncorhynchus","genus","2021_REEF_B_1","Reef harbor kelp","1","6/13/21","11/18/21"
"559","e00301-B","e00301","B",163,"Stichaeidae","family","2021_REEF_B_1","Reef harbor kelp","1","6/13/21","11/18/21"
"560","e00301-B","e00301","B",860,"Polypera_greeni","species","2021_REEF_B_1","Reef harbor kelp","1","6/13/21","11/18/21"
"561","e00301-B","e00301","B",44,"Gadidae","family","2021_REEF_B_1","Reef harbor kelp","1","6/13/21","11/18/21"
"562","e00301-C","e00301","C",3345,"Clupeidae","family","2021_REEF_B_1","Reef harbor kelp","1","6/13/21","11/18/21"
"563","e00301-C","e00301","C",266,"Salmonidae","family","2021_REEF_B_1","Reef harbor kelp","1","6/13/21","11/18/21"
"564","e00301-C","e00301","C",1017,"Pholis","genus","2021_REEF_B_1","Reef harbor kelp","1","6/13/21","11/18/21"
"565","e00301-C","e00301","C",14374,"Ammodytidae","family","2021_REEF_B_1","Reef harbor kelp","1","6/13/21","11/18/21"
"566","e00301-C","e00301","C",218,"Anoplarchus","genus","2021_REEF_B_1","Reef harbor kelp","1","6/13/21","11/18/21"
"567","e00301-C","e00301","C",529,"Stichaeidae","family","2021_REEF_B_1","Reef harbor kelp","1","6/13/21","11/18/21"
"568","e00301-C","e00301","C",310,"Polypera_greeni","species","2021_REEF_B_1","Reef harbor kelp","1","6/13/21","11/18/21"
"569","e00301-C","e00301","C",3,"Oligocottus","genus","2021_REEF_B_1","Reef harbor kelp","1","6/13/21","11/18/21"
"570","e00302-A","e00302","A",1630,"Clupeidae","family","2021_REEF_B_2","Reef harbor kelp","2","6/13/21","11/18/21"
"571","e00302-A","e00302","A",127,"Salmonidae","family","2021_REEF_B_2","Reef harbor kelp","2","6/13/21","11/18/21"
"572","e00302-A","e00302","A",153,"Pholis","genus","2021_REEF_B_2","Reef harbor kelp","2","6/13/21","11/18/21"
"573","e00302-A","e00302","A",6676,"Ammodytidae","family","2021_REEF_B_2","Reef harbor kelp","2","6/13/21","11/18/21"
"574","e00302-A","e00302","A",240,"Anoplarchus","genus","2021_REEF_B_2","Reef harbor kelp","2","6/13/21","11/18/21"
"575","e00302-A","e00302","A",170,"Stichaeidae","family","2021_REEF_B_2","Reef harbor kelp","2","6/13/21","11/18/21"
"576","e00302-A","e00302","A",8,"Oligocottus","genus","2021_REEF_B_2","Reef harbor kelp","2","6/13/21","11/18/21"
"577","e00302-B","e00302","B",3518,"Clupeidae","family","2021_REEF_B_2","Reef harbor kelp","2","6/13/21","11/18/21"
"578","e00302-B","e00302","B",208,"Salmonidae","family","2021_REEF_B_2","Reef harbor kelp","2","6/13/21","11/18/21"
"579","e00302-B","e00302","B",348,"Pholis","genus","2021_REEF_B_2","Reef harbor kelp","2","6/13/21","11/18/21"
"580","e00302-B","e00302","B",13944,"Ammodytidae","family","2021_REEF_B_2","Reef harbor kelp","2","6/13/21","11/18/21"
"581","e00302-B","e00302","B",420,"Anoplarchus","genus","2021_REEF_B_2","Reef harbor kelp","2","6/13/21","11/18/21"
"582","e00302-B","e00302","B",8,"Oncorhynchus","genus","2021_REEF_B_2","Reef harbor kelp","2","6/13/21","11/18/21"
"583","e00302-B","e00302","B",207,"Sebastidae","family","2021_REEF_B_2","Reef harbor kelp","2","6/13/21","11/18/21"
"584","e00302-B","e00302","B",4,"Artedius_lateralis","species","2021_REEF_B_2","Reef harbor kelp","2","6/13/21","11/18/21"
"585","e00302-B","e00302","B",12,"Canis_lupus","species","2021_REEF_B_2","Reef harbor kelp","2","6/13/21","11/18/21"
"586","e00302-C","e00302","C",3702,"Clupeidae","family","2021_REEF_B_2","Reef harbor kelp","2","6/13/21","11/18/21"
"587","e00302-C","e00302","C",415,"Salmonidae","family","2021_REEF_B_2","Reef harbor kelp","2","6/13/21","11/18/21"
"588","e00302-C","e00302","C",735,"Pholis","genus","2021_REEF_B_2","Reef harbor kelp","2","6/13/21","11/18/21"
"589","e00302-C","e00302","C",15283,"Ammodytidae","family","2021_REEF_B_2","Reef harbor kelp","2","6/13/21","11/18/21"
"590","e00302-C","e00302","C",192,"Anoplarchus","genus","2021_REEF_B_2","Reef harbor kelp","2","6/13/21","11/18/21"
"591","e00302-C","e00302","C",228,"Gadidae","family","2021_REEF_B_2","Reef harbor kelp","2","6/13/21","11/18/21"
"592","e00302-C","e00302","C",401,"Stichaeidae","family","2021_REEF_B_2","Reef harbor kelp","2","6/13/21","11/18/21"
"593","e00302-C","e00302","C",265,"Apodichthys_flavidus","species","2021_REEF_B_2","Reef harbor kelp","2","6/13/21","11/18/21"
"594","e00303-A","e00303","A",346,"Clupeidae","family","2021_REEF_B_3","Reef harbor kelp","3","6/13/21","11/18/21"
"595","e00303-A","e00303","A",1212,"Pholis","genus","2021_REEF_B_3","Reef harbor kelp","3","6/13/21","11/18/21"
"596","e00303-A","e00303","A",3424,"Ammodytidae","family","2021_REEF_B_3","Reef harbor kelp","3","6/13/21","11/18/21"
"597","e00303-A","e00303","A",289,"Anoplarchus","genus","2021_REEF_B_3","Reef harbor kelp","3","6/13/21","11/18/21"
"598","e00303-A","e00303","A",568,"Stichaeidae","family","2021_REEF_B_3","Reef harbor kelp","3","6/13/21","11/18/21"
"599","e00303-B","e00303","B",2619,"Clupeidae","family","2021_REEF_B_3","Reef harbor kelp","3","6/13/21","11/18/21"
"600","e00303-B","e00303","B",1769,"Pholis","genus","2021_REEF_B_3","Reef harbor kelp","3","6/13/21","11/18/21"
"601","e00303-B","e00303","B",6656,"Ammodytidae","family","2021_REEF_B_3","Reef harbor kelp","3","6/13/21","11/18/21"
"602","e00303-B","e00303","B",2344,"Stichaeidae","family","2021_REEF_B_3","Reef harbor kelp","3","6/13/21","11/18/21"
"603","e00303-C","e00303","C",1990,"Clupeidae","family","2021_REEF_B_3","Reef harbor kelp","3","6/13/21","11/18/21"
"604","e00303-C","e00303","C",235,"Salmonidae","family","2021_REEF_B_3","Reef harbor kelp","3","6/13/21","11/18/21"
"605","e00303-C","e00303","C",687,"Pholis","genus","2021_REEF_B_3","Reef harbor kelp","3","6/13/21","11/18/21"
"606","e00303-C","e00303","C",8179,"Ammodytidae","family","2021_REEF_B_3","Reef harbor kelp","3","6/13/21","11/18/21"
"607","e00303-C","e00303","C",587,"Anoplarchus","genus","2021_REEF_B_3","Reef harbor kelp","3","6/13/21","11/18/21"
"608","e00303-C","e00303","C",424,"Stichaeidae","family","2021_REEF_B_3","Reef harbor kelp","3","6/13/21","11/18/21"
"609","e00303-C","e00303","C",5,"Artedius_lateralis","species","2021_REEF_B_3","Reef harbor kelp","3","6/13/21","11/18/21"
"610","e00304-A","e00304","A",447,"Ammodytidae","family","2021_REEF_B_4","Reef harbor kelp","control","6/13/21","11/18/21"
"611","e00304-A","e00304","A",1,"Citharichthys_stigmaeus","species","2021_REEF_B_4","Reef harbor kelp","control","6/13/21","11/18/21"
"612","e00304-B","e00304","B",648,"Ammodytidae","family","2021_REEF_B_4","Reef harbor kelp","control","6/13/21","11/18/21"
"613","e00304-C","e00304","C",4205,"Ammodytidae","family","2021_REEF_B_4","Reef harbor kelp","control","6/13/21","11/18/21"
"614","e00305-A","e00305","A",924,"Clupeidae","family","2021_KAHS_A_1","Kah shakes eel","1","6/11/21","11/18/21"
"615","e00305-A","e00305","A",513,"Salmonidae","family","2021_KAHS_A_1","Kah shakes eel","1","6/11/21","11/18/21"
"616","e00305-A","e00305","A",459,"Cymatogaster_aggregata","species","2021_KAHS_A_1","Kah shakes eel","1","6/11/21","11/18/21"
"617","e00305-A","e00305","A",1117,"Pholis","genus","2021_KAHS_A_1","Kah shakes eel","1","6/11/21","11/18/21"
"618","e00305-A","e00305","A",69,"Oncorhynchus","genus","2021_KAHS_A_1","Kah shakes eel","1","6/11/21","11/18/21"
"619","e00305-A","e00305","A",560,"Clinocottus_acuticeps","species","2021_KAHS_A_1","Kah shakes eel","1","6/11/21","11/18/21"
"620","e00305-A","e00305","A",373,"Actinopteri","class","2021_KAHS_A_1","Kah shakes eel","1","6/11/21","11/18/21"
"621","e00305-A","e00305","A",312,"Hemilepidotus","genus","2021_KAHS_A_1","Kah shakes eel","1","6/11/21","11/18/21"
"622","e00305-A","e00305","A",367,"Cottidae","family","2021_KAHS_A_1","Kah shakes eel","1","6/11/21","11/18/21"
"623","e00305-A","e00305","A",7,"Oligocottus","genus","2021_KAHS_A_1","Kah shakes eel","1","6/11/21","11/18/21"
"624","e00305-B","e00305","B",2511,"Clupeidae","family","2021_KAHS_A_1","Kah shakes eel","1","6/11/21","11/18/21"
"625","e00305-B","e00305","B",6280,"Pholis","genus","2021_KAHS_A_1","Kah shakes eel","1","6/11/21","11/18/21"
"626","e00305-B","e00305","B",848,"Anoplarchus","genus","2021_KAHS_A_1","Kah shakes eel","1","6/11/21","11/18/21"
"627","e00305-B","e00305","B",1428,"Oncorhynchus","genus","2021_KAHS_A_1","Kah shakes eel","1","6/11/21","11/18/21"
"628","e00305-B","e00305","B",1415,"Enophrys_bison","species","2021_KAHS_A_1","Kah shakes eel","1","6/11/21","11/18/21"
"629","e00305-B","e00305","B",813,"Apodichthys_flavidus","species","2021_KAHS_A_1","Kah shakes eel","1","6/11/21","11/18/21"
"630","e00305-B","e00305","B",311,"Sebastidae","family","2021_KAHS_A_1","Kah shakes eel","1","6/11/21","11/18/21"
"631","e00305-B","e00305","B",200,"Oligocottus","genus","2021_KAHS_A_1","Kah shakes eel","1","6/11/21","11/18/21"
"632","e00305-B","e00305","B",844,"Clinocottus_acuticeps","species","2021_KAHS_A_1","Kah shakes eel","1","6/11/21","11/18/21"
"633","e00305-C","e00305","C",4142,"Clupeidae","family","2021_KAHS_A_1","Kah shakes eel","1","6/11/21","11/18/21"
"634","e00305-C","e00305","C",1252,"Salmonidae","family","2021_KAHS_A_1","Kah shakes eel","1","6/11/21","11/18/21"
"635","e00305-C","e00305","C",3963,"Pholis","genus","2021_KAHS_A_1","Kah shakes eel","1","6/11/21","11/18/21"
"636","e00305-C","e00305","C",493,"Gasterosteus","genus","2021_KAHS_A_1","Kah shakes eel","1","6/11/21","11/18/21"
"637","e00305-C","e00305","C",1768,"Anoplarchus","genus","2021_KAHS_A_1","Kah shakes eel","1","6/11/21","11/18/21"
"638","e00305-C","e00305","C",999,"Artedius_fenestralis","species","2021_KAHS_A_1","Kah shakes eel","1","6/11/21","11/18/21"
"639","e00305-C","e00305","C",709,"Hexagrammos","genus","2021_KAHS_A_1","Kah shakes eel","1","6/11/21","11/18/21"
"640","e00305-C","e00305","C",4,"Oligocottus","genus","2021_KAHS_A_1","Kah shakes eel","1","6/11/21","11/18/21"
"641","e00305-C","e00305","C",1253,"Polypera_greeni","species","2021_KAHS_A_1","Kah shakes eel","1","6/11/21","11/18/21"
"642","e00306-A","e00306","A",2434,"Clupeidae","family","2021_KAHS_A_2","Kah shakes eel","2","6/11/21","11/18/21"
"643","e00306-A","e00306","A",360,"Cymatogaster_aggregata","species","2021_KAHS_A_2","Kah shakes eel","2","6/11/21","11/18/21"
"644","e00306-A","e00306","A",2748,"Pholis","genus","2021_KAHS_A_2","Kah shakes eel","2","6/11/21","11/18/21"
"645","e00306-A","e00306","A",491,"Ammodytidae","family","2021_KAHS_A_2","Kah shakes eel","2","6/11/21","11/18/21"
"646","e00306-A","e00306","A",213,"Gasterosteus","genus","2021_KAHS_A_2","Kah shakes eel","2","6/11/21","11/18/21"
"647","e00306-A","e00306","A",83,"Cottidae","family","2021_KAHS_A_2","Kah shakes eel","2","6/11/21","11/18/21"
"648","e00306-A","e00306","A",212,"Anoplarchus","genus","2021_KAHS_A_2","Kah shakes eel","2","6/11/21","11/18/21"
"649","e00306-A","e00306","A",284,"Citharichthys_stigmaeus","species","2021_KAHS_A_2","Kah shakes eel","2","6/11/21","11/18/21"
"650","e00306-A","e00306","A",162,"Clinocottus_acuticeps","species","2021_KAHS_A_2","Kah shakes eel","2","6/11/21","11/18/21"
"651","e00306-A","e00306","A",341,"Hexagrammos","genus","2021_KAHS_A_2","Kah shakes eel","2","6/11/21","11/18/21"
"652","e00306-A","e00306","A",780,"Enophrys_bison","species","2021_KAHS_A_2","Kah shakes eel","2","6/11/21","11/18/21"
"653","e00306-A","e00306","A",123,"Apodichthys_flavidus","species","2021_KAHS_A_2","Kah shakes eel","2","6/11/21","11/18/21"
"654","e00306-A","e00306","A",52,"Oncorhynchus","genus","2021_KAHS_A_2","Kah shakes eel","2","6/11/21","11/18/21"
"655","e00306-A","e00306","A",126,"Actinopteri","class","2021_KAHS_A_2","Kah shakes eel","2","6/11/21","11/18/21"
"656","e00306-A","e00306","A",117,"Hemilepidotus","genus","2021_KAHS_A_2","Kah shakes eel","2","6/11/21","11/18/21"
"657","e00306-A","e00306","A",67,"Oligocottus","genus","2021_KAHS_A_2","Kah shakes eel","2","6/11/21","11/18/21"
"658","e00306-B","e00306","B",4196,"Clupeidae","family","2021_KAHS_A_2","Kah shakes eel","2","6/11/21","11/18/21"
"659","e00306-B","e00306","B",1634,"Cymatogaster_aggregata","species","2021_KAHS_A_2","Kah shakes eel","2","6/11/21","11/18/21"
"660","e00306-B","e00306","B",8189,"Pholis","genus","2021_KAHS_A_2","Kah shakes eel","2","6/11/21","11/18/21"
"661","e00306-B","e00306","B",1330,"Ammodytidae","family","2021_KAHS_A_2","Kah shakes eel","2","6/11/21","11/18/21"
"662","e00306-B","e00306","B",269,"Gasterosteus","genus","2021_KAHS_A_2","Kah shakes eel","2","6/11/21","11/18/21"
"663","e00306-B","e00306","B",1915,"Clinocottus_acuticeps","species","2021_KAHS_A_2","Kah shakes eel","2","6/11/21","11/18/21"
"664","e00306-B","e00306","B",433,"Enophrys_bison","species","2021_KAHS_A_2","Kah shakes eel","2","6/11/21","11/18/21"
"665","e00306-B","e00306","B",797,"Oncorhynchus","genus","2021_KAHS_A_2","Kah shakes eel","2","6/11/21","11/18/21"
"666","e00306-B","e00306","B",1016,"Actinopteri","class","2021_KAHS_A_2","Kah shakes eel","2","6/11/21","11/18/21"
"667","e00306-B","e00306","B",157,"Hemilepidotus","genus","2021_KAHS_A_2","Kah shakes eel","2","6/11/21","11/18/21"
"668","e00306-B","e00306","B",41,"Oligocottus","genus","2021_KAHS_A_2","Kah shakes eel","2","6/11/21","11/18/21"
"669","e00306-B","e00306","B",325,"Cottidae","family","2021_KAHS_A_2","Kah shakes eel","2","6/11/21","11/18/21"
"670","e00306-C","e00306","C",3519,"Clupeidae","family","2021_KAHS_A_2","Kah shakes eel","2","6/11/21","11/18/21"
"671","e00306-C","e00306","C",1002,"Salmonidae","family","2021_KAHS_A_2","Kah shakes eel","2","6/11/21","11/18/21"
"672","e00306-C","e00306","C",1667,"Cymatogaster_aggregata","species","2021_KAHS_A_2","Kah shakes eel","2","6/11/21","11/18/21"
"673","e00306-C","e00306","C",6480,"Pholis","genus","2021_KAHS_A_2","Kah shakes eel","2","6/11/21","11/18/21"
"674","e00306-C","e00306","C",671,"Ammodytidae","family","2021_KAHS_A_2","Kah shakes eel","2","6/11/21","11/18/21"
"675","e00306-C","e00306","C",587,"Gasterosteus","genus","2021_KAHS_A_2","Kah shakes eel","2","6/11/21","11/18/21"
"676","e00306-C","e00306","C",2703,"Clinocottus_acuticeps","species","2021_KAHS_A_2","Kah shakes eel","2","6/11/21","11/18/21"
"677","e00306-C","e00306","C",583,"Hexagrammos","genus","2021_KAHS_A_2","Kah shakes eel","2","6/11/21","11/18/21"
"678","e00306-C","e00306","C",935,"Enophrys_bison","species","2021_KAHS_A_2","Kah shakes eel","2","6/11/21","11/18/21"
"679","e00306-C","e00306","C",801,"Apodichthys_flavidus","species","2021_KAHS_A_2","Kah shakes eel","2","6/11/21","11/18/21"
"680","e00306-C","e00306","C",579,"Actinopteri","class","2021_KAHS_A_2","Kah shakes eel","2","6/11/21","11/18/21"
"681","e00306-C","e00306","C",66,"Anoplarchus","genus","2021_KAHS_A_2","Kah shakes eel","2","6/11/21","11/18/21"
"682","e00306-C","e00306","C",494,"Artedius_harringtoni","species","2021_KAHS_A_2","Kah shakes eel","2","6/11/21","11/18/21"
"683","e00307-A","e00307","A",2671,"Clupeidae","family","2021_KAHS_A_3","Kah shakes eel","3","6/11/21","11/18/21"
"684","e00307-A","e00307","A",437,"Salmonidae","family","2021_KAHS_A_3","Kah shakes eel","3","6/11/21","11/18/21"
"685","e00307-A","e00307","A",503,"Cymatogaster_aggregata","species","2021_KAHS_A_3","Kah shakes eel","3","6/11/21","11/18/21"
"686","e00307-A","e00307","A",1992,"Pholis","genus","2021_KAHS_A_3","Kah shakes eel","3","6/11/21","11/18/21"
"687","e00307-A","e00307","A",763,"Ammodytidae","family","2021_KAHS_A_3","Kah shakes eel","3","6/11/21","11/18/21"
"688","e00307-A","e00307","A",153,"Artedius_fenestralis","species","2021_KAHS_A_3","Kah shakes eel","3","6/11/21","11/18/21"
"689","e00307-A","e00307","A",524,"Clinocottus_acuticeps","species","2021_KAHS_A_3","Kah shakes eel","3","6/11/21","11/18/21"
"690","e00307-A","e00307","A",384,"Cottidae","family","2021_KAHS_A_3","Kah shakes eel","3","6/11/21","11/18/21"
"691","e00307-A","e00307","A",239,"Apodichthys_flavidus","species","2021_KAHS_A_3","Kah shakes eel","3","6/11/21","11/18/21"
"692","e00307-A","e00307","A",5,"Anoplarchus","genus","2021_KAHS_A_3","Kah shakes eel","3","6/11/21","11/18/21"
"693","e00307-A","e00307","A",55,"Oligocottus","genus","2021_KAHS_A_3","Kah shakes eel","3","6/11/21","11/18/21"
"694","e00307-A","e00307","A",49,"Stichaeidae","family","2021_KAHS_A_3","Kah shakes eel","3","6/11/21","11/18/21"
"695","e00307-A","e00307","A",243,"Pleuronectidae","family","2021_KAHS_A_3","Kah shakes eel","3","6/11/21","11/18/21"
"696","e00307-A","e00307","A",3,"Sus","genus","2021_KAHS_A_3","Kah shakes eel","3","6/11/21","11/18/21"
"697","e00307-B","e00307","B",7519,"Clupeidae","family","2021_KAHS_A_3","Kah shakes eel","3","6/11/21","11/18/21"
"698","e00307-B","e00307","B",3028,"Cymatogaster_aggregata","species","2021_KAHS_A_3","Kah shakes eel","3","6/11/21","11/18/21"
"699","e00307-B","e00307","B",2212,"Pholis","genus","2021_KAHS_A_3","Kah shakes eel","3","6/11/21","11/18/21"
"700","e00307-B","e00307","B",428,"Cottidae","family","2021_KAHS_A_3","Kah shakes eel","3","6/11/21","11/18/21"
"701","e00307-B","e00307","B",1473,"Citharichthys_stigmaeus","species","2021_KAHS_A_3","Kah shakes eel","3","6/11/21","11/18/21"
"702","e00307-B","e00307","B",1709,"Syngnathus_leptorhynchus","species","2021_KAHS_A_3","Kah shakes eel","3","6/11/21","11/18/21"
"703","e00307-B","e00307","B",78,"Oligocottus","genus","2021_KAHS_A_3","Kah shakes eel","3","6/11/21","11/18/21"
"704","e00307-B","e00307","B",399,"Artedius_lateralis","species","2021_KAHS_A_3","Kah shakes eel","3","6/11/21","11/18/21"
"705","e00307-C","e00307","C",6022,"Clupeidae","family","2021_KAHS_A_3","Kah shakes eel","3","6/11/21","11/18/21"
"706","e00307-C","e00307","C",1284,"Salmonidae","family","2021_KAHS_A_3","Kah shakes eel","3","6/11/21","11/18/21"
"707","e00307-C","e00307","C",1221,"Cymatogaster_aggregata","species","2021_KAHS_A_3","Kah shakes eel","3","6/11/21","11/18/21"
"708","e00307-C","e00307","C",2508,"Pholis","genus","2021_KAHS_A_3","Kah shakes eel","3","6/11/21","11/18/21"
"709","e00307-C","e00307","C",434,"Ammodytidae","family","2021_KAHS_A_3","Kah shakes eel","3","6/11/21","11/18/21"
"710","e00307-C","e00307","C",245,"Gasterosteus","genus","2021_KAHS_A_3","Kah shakes eel","3","6/11/21","11/18/21"
"711","e00307-C","e00307","C",558,"Cottidae","family","2021_KAHS_A_3","Kah shakes eel","3","6/11/21","11/18/21"
"712","e00307-C","e00307","C",1313,"Anoplarchus","genus","2021_KAHS_A_3","Kah shakes eel","3","6/11/21","11/18/21"
"713","e00307-C","e00307","C",343,"Clinocottus_acuticeps","species","2021_KAHS_A_3","Kah shakes eel","3","6/11/21","11/18/21"
"714","e00307-C","e00307","C",1090,"Enophrys_bison","species","2021_KAHS_A_3","Kah shakes eel","3","6/11/21","11/18/21"
"715","e00307-C","e00307","C",1134,"Apodichthys_flavidus","species","2021_KAHS_A_3","Kah shakes eel","3","6/11/21","11/18/21"
"716","e00307-C","e00307","C",954,"Actinopteri","class","2021_KAHS_A_3","Kah shakes eel","3","6/11/21","11/18/21"
"717","e00307-C","e00307","C",242,"Polypera_greeni","species","2021_KAHS_A_3","Kah shakes eel","3","6/11/21","11/18/21"
"718","e00307-C","e00307","C",661,"Citharichthys_stigmaeus","species","2021_KAHS_A_3","Kah shakes eel","3","6/11/21","11/18/21"
"719","e00307-C","e00307","C",3,"Oligocottus","genus","2021_KAHS_A_3","Kah shakes eel","3","6/11/21","11/18/21"
"720","e00307-C","e00307","C",2,"Bos","genus","2021_KAHS_A_3","Kah shakes eel","3","6/11/21","11/18/21"
"721","e00308-A","e00308","A",1157,"Salmonidae","family","2021_KAHS_A_4","Kah shakes eel","control","6/11/21","11/18/21"
"722","e00308-A","e00308","A",63,"Oncorhynchus","genus","2021_KAHS_A_4","Kah shakes eel","control","6/11/21","11/18/21"
"723","e00308-B","e00308","B",3635,"Salmonidae","family","2021_KAHS_A_4","Kah shakes eel","control","6/11/21","11/18/21"
"724","e00308-B","e00308","B",2672,"Pleuronectidae","family","2021_KAHS_A_4","Kah shakes eel","control","6/11/21","11/18/21"
"725","e00308-B","e00308","B",344,"Oncorhynchus","genus","2021_KAHS_A_4","Kah shakes eel","control","6/11/21","11/18/21"
"726","e00308-C","e00308","C",1204,"Salmonidae","family","2021_KAHS_A_4","Kah shakes eel","control","6/11/21","11/18/21"
"727","e00308-C","e00308","C",3274,"Cymatogaster_aggregata","species","2021_KAHS_A_4","Kah shakes eel","control","6/11/21","11/18/21"
"728","e00308-C","e00308","C",159,"Oncorhynchus","genus","2021_KAHS_A_4","Kah shakes eel","control","6/11/21","11/18/21"
"729","e00309-A","e00309","A",2100,"Clupeidae","family","2021_KAHS_B_1","Kah shakes kelp","1","6/12/21","11/18/21"
"730","e00309-A","e00309","A",699,"Salmonidae","family","2021_KAHS_B_1","Kah shakes kelp","1","6/12/21","11/18/21"
"731","e00309-A","e00309","A",340,"Cymatogaster_aggregata","species","2021_KAHS_B_1","Kah shakes kelp","1","6/12/21","11/18/21"
"732","e00309-A","e00309","A",487,"Pholis","genus","2021_KAHS_B_1","Kah shakes kelp","1","6/12/21","11/18/21"
"733","e00309-A","e00309","A",1429,"Ammodytidae","family","2021_KAHS_B_1","Kah shakes kelp","1","6/12/21","11/18/21"
"734","e00309-A","e00309","A",2,"Anoplopoma_fimbria","species","2021_KAHS_B_1","Kah shakes kelp","1","6/12/21","11/18/21"
"735","e00309-A","e00309","A",3,"Cottidae","family","2021_KAHS_B_1","Kah shakes kelp","1","6/12/21","11/18/21"
"736","e00309-A","e00309","A",180,"Stichaeidae","family","2021_KAHS_B_1","Kah shakes kelp","1","6/12/21","11/18/21"
"737","e00309-A","e00309","A",458,"Apodichthys_flavidus","species","2021_KAHS_B_1","Kah shakes kelp","1","6/12/21","11/18/21"
"738","e00309-A","e00309","A",123,"Sebastidae","family","2021_KAHS_B_1","Kah shakes kelp","1","6/12/21","11/18/21"
"739","e00309-A","e00309","A",22,"Hexagrammos_decagrammus","species","2021_KAHS_B_1","Kah shakes kelp","1","6/12/21","11/18/21"
"740","e00309-A","e00309","A",43,"Artedius_lateralis","species","2021_KAHS_B_1","Kah shakes kelp","1","6/12/21","11/18/21"
"741","e00309-A","e00309","A",82,"Oncorhynchus","genus","2021_KAHS_B_1","Kah shakes kelp","1","6/12/21","11/18/21"
"742","e00309-B","e00309","B",3812,"Clupeidae","family","2021_KAHS_B_1","Kah shakes kelp","1","6/12/21","11/18/21"
"743","e00309-B","e00309","B",3750,"Salmonidae","family","2021_KAHS_B_1","Kah shakes kelp","1","6/12/21","11/18/21"
"744","e00309-B","e00309","B",4,"Cymatogaster_aggregata","species","2021_KAHS_B_1","Kah shakes kelp","1","6/12/21","11/18/21"
"745","e00309-B","e00309","B",4307,"Pholis","genus","2021_KAHS_B_1","Kah shakes kelp","1","6/12/21","11/18/21"
"746","e00309-B","e00309","B",1436,"Ammodytidae","family","2021_KAHS_B_1","Kah shakes kelp","1","6/12/21","11/18/21"
"747","e00309-B","e00309","B",1,"Gasterosteus","genus","2021_KAHS_B_1","Kah shakes kelp","1","6/12/21","11/18/21"
"748","e00309-B","e00309","B",597,"Anoplarchus","genus","2021_KAHS_B_1","Kah shakes kelp","1","6/12/21","11/18/21"
"749","e00309-B","e00309","B",189,"Stichaeidae","family","2021_KAHS_B_1","Kah shakes kelp","1","6/12/21","11/18/21"
"750","e00309-B","e00309","B",201,"Enophrys_bison","species","2021_KAHS_B_1","Kah shakes kelp","1","6/12/21","11/18/21"
"751","e00309-B","e00309","B",428,"Sebastidae","family","2021_KAHS_B_1","Kah shakes kelp","1","6/12/21","11/18/21"
"752","e00309-B","e00309","B",25,"Gobiesox_maeandricus","species","2021_KAHS_B_1","Kah shakes kelp","1","6/12/21","11/18/21"
"753","e00309-C","e00309","C",6019,"Clupeidae","family","2021_KAHS_B_1","Kah shakes kelp","1","6/12/21","11/18/21"
"754","e00309-C","e00309","C",2029,"Salmonidae","family","2021_KAHS_B_1","Kah shakes kelp","1","6/12/21","11/18/21"
"755","e00309-C","e00309","C",2562,"Pholis","genus","2021_KAHS_B_1","Kah shakes kelp","1","6/12/21","11/18/21"
"756","e00309-C","e00309","C",1564,"Ammodytidae","family","2021_KAHS_B_1","Kah shakes kelp","1","6/12/21","11/18/21"
"757","e00309-C","e00309","C",4,"Cottidae","family","2021_KAHS_B_1","Kah shakes kelp","1","6/12/21","11/18/21"
"758","e00309-C","e00309","C",1290,"Anoplarchus","genus","2021_KAHS_B_1","Kah shakes kelp","1","6/12/21","11/18/21"
